,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,url,text,popularity,city,topics,sentiment
34,thestinkimonkey,"Henderson, NV",4068,3915,It's a great night! https://t.co/bqJS6f3cIv,0,0,10,37064,0,0,0,0,1621,0,https://twitter.com/statuses/1190820434674999296,great night,,LAS_VEGAS,1,positive
41,thatDIVAMom,PARADISE,52,263,Your actions eventually catch up to your thoughts. Think BIG💰 https://t.co/7GGXKAAgoR,0,0,0,2242,0,0,0,0,1396,0,https://twitter.com/statuses/1190820413007286272,your action eventually catch your thoughts think big,,LAS_VEGAS,1,positive
48,al_usc,"Las Vegas ,nevada",22,354,@BreitbartNews Hang him.,0,0,2,1871,1,1,0,0,162,0,https://twitter.com/statuses/1190820390970347520,breitbartnews hang,,LAS_VEGAS,1,neutral
8,CUBOTV1,"Las Vegas, NV",466,256,Lmao he lowkey stuck slim thug ass at the beginning https://t.co/L3DltcJuvD,0,0,1,16414,0,0,0,0,2329,0,https://twitter.com/statuses/1190820507245056001,lmao lowkey stick slim thug begin,,LAS_VEGAS,2,positive
10,thegreatone922,Las Vegas,17,64,@RangersPost @rgmh22251806 @kmfitz3 @Veteran4Trump @RepAdamSchiff I was explaining Schiffs violations,0,0,3,1432,5,1,0,0,3861,0,https://twitter.com/statuses/1190820505298907136,rangerspost rgmh22251806 kmfitz3 veteran4trump repadamschiff explain schiffs violations,,LAS_VEGAS,2,neutral
15,ToddFuhrman,"Las Vegas, Nevada",119629,719,Today was one of the most important days for @pac12 football in a long time; league maintains national relevance if… https://t.co/tlBAZgOX6H,0,2,2125,56774,1,0,1,0,3193,0,https://twitter.com/statuses/1190820484172021760,today most important days pac12 football long time league maintain national relevance,,LAS_VEGAS,2,positive
22,Supa_Brit,"Las Vegas, NV",511,109,Oh how I miss Houston 😩,0,0,0,72,0,0,0,0,2900,0,https://twitter.com/statuses/1190820475032653825,miss houston,,LAS_VEGAS,2,neutral
26,TroyTalkPod,"Henderson, NV",192,214,@ReignofTroy Understatement don’t you think? 😂,0,1,1,2039,1,1,0,0,823,0,https://twitter.com/statuses/1190820455306780672,reignoftroy understatement think,,LAS_VEGAS,2,neutral
44,__jarrell___,"North Las Vegas, NV",703,413,next big thing https://t.co/Q4tZpU1GqR,0,0,4,11150,0,0,0,0,2021,0,https://twitter.com/statuses/1190820402659880960,next thing,,LAS_VEGAS,2,neutral
53,MHillets,"Las Vegas, NV",4,24,@Geneviene31 @usmckillem @SinBinVegas Yeah it kinda does. What’s your definition of a veteran.,0,0,0,232,3,1,0,0,1502,0,https://twitter.com/statuses/1190820364479107072,geneviene31 usmckillem sinbinvegas yeah kinda do what your definition veteran,,LAS_VEGAS,2,neutral
60,AliceuRuhMess,"Las Vegas, NV",139,154,@HXCGABI I forgot lmao,0,0,0,4502,1,1,0,0,707,0,https://twitter.com/statuses/1190820335043502081,hxcgabi forget lmao,,LAS_VEGAS,2,positive
62,BrizzyRand,"Las Vegas, NV",129,562,@vanessanoheart Need a ride?,0,0,0,357,1,1,0,0,46,0,https://twitter.com/statuses/1190820326671708162,vanessanoheart need ride,,LAS_VEGAS,2,neutral
68,SommerDanise,"Las Vegas, NV",1445,1441,@Bear69Wolf I've always wanted 2 have someone do this 2 me.,0,0,4,4158,1,1,0,0,827,0,https://twitter.com/statuses/1190820313170231297,bear69wolf always want have someone this,,LAS_VEGAS,2,neutral
0,Harold_G97,Paradise,800,854,As if our Uber just crashed looool,0,0,2,49146,0,0,0,0,3066,0,https://twitter.com/statuses/1190820525100224514,uber just crash looool,,LAS_VEGAS,3,neutral
3,VegasDUCKfan58,"Las Vegas, NV",521,821,I’m just gonna day that non PI call on the interception is a make up for the 2 OPIs that were called against us vs WSU lol,0,0,13,44170,0,0,0,0,3108,0,https://twitter.com/statuses/1190820514215809024,just that call interception make opis that be call against,,LAS_VEGAS,3,neutral
7,maxoctober,NYC,1542,670,"Every generation is a response to the last. 

Curious to see how the next gen responds to this shit.",0,0,18,43629,0,0,0,0,3885,0,https://twitter.com/statuses/1190820512194158592,every generation response last curious next respond this shit,,LAS_VEGAS,3,negative
11,angrydio,"Las Vegas, NV",613,390,a baby has been discovered https://t.co/ozWveeUnpa,0,0,7,11196,0,0,0,0,2649,0,https://twitter.com/statuses/1190820499510575104,baby be discover,,LAS_VEGAS,3,neutral
14,VGKrysty,"Las Vegas, NV",61,151,@GoldenKnights My mom made tamales should we bring some?? https://t.co/GW0VmQ9Hjv,0,1,0,332,1,1,0,0,293,0,https://twitter.com/statuses/1190820488194318336,goldenknights make tamales should bring some,,LAS_VEGAS,3,neutral
23,Tuffgng5,"Las Vegas, NV",279,665,@MBMNoles That 11 yard punt changed the momentum. Should have pinned them deep. Also the refs picking up no block i… https://t.co/0zYaYZ48xT,0,0,4,10807,1,1,0,0,2307,0,https://twitter.com/statuses/1190820470670540800,mbmnoles that yard punt change momentum should have pin them deep also refs pick block,,LAS_VEGAS,3,neutral
27,creeepitreaaal,"Las Vegas, NV",116,134,I’m always at MF Cheesecake Factory,0,0,0,18607,0,0,0,0,549,0,https://twitter.com/statuses/1190820451846520834,always cheesecake factory,,LAS_VEGAS,3,neutral
33,itslisae,"Las Vegas, NV",547,345,"@clayisforgirls Everything about San Jose is stupid, so that makes sense. (I have never been to SAP, but it’s so ug… https://t.co/Dyw0LDhilB",0,0,38,92876,1,1,0,0,3851,0,https://twitter.com/statuses/1190820435895582720,clayisforgirls everything about jose stupid that make sense have never be,,LAS_VEGAS,3,negative
36,CxmpOnly,"Las Vegas, NV",9,37,@HankDaTank Lmao if you wanna cook me hit my dm,0,0,0,84,1,1,0,0,143,0,https://twitter.com/statuses/1190820421211430913,hankdatank lmao cook,,LAS_VEGAS,3,positive
39,mysteryspiff,"Las Vegas, NV",291,565,@Sumdood88 Not so simple now 👀,0,0,7,14540,1,1,0,0,2289,0,https://twitter.com/statuses/1190820418766045184,sumdood88 simple,,LAS_VEGAS,3,neutral
16,vegasdude83,,1314,1820,Republicans want a civil war because that would make it impossible to remove Trump from office regardless of what he does,0,0,50,190525,0,0,0,0,3137,0,https://twitter.com/statuses/1190820482209026048,republicans want civil because that would make impossible remove trump from office regardless what do,,LAS_VEGAS,4,negative
19,DreCas5,"Paradise, NV",55,347,@JordanHicksNBA @bomani_jones Jimmy gets wins haters,0,0,0,1534,2,1,0,0,777,0,https://twitter.com/statuses/1190820478128197634,jordanhicksnba bomanijones jimmy get win haters,,LAS_VEGAS,4,positive
21,fashobrittany,"Las Vegas, NV",2298,1770,I need about 12 shots of tequila to the face 🙂,0,0,12,109146,0,0,0,0,3219,0,https://twitter.com/statuses/1190820475649191936,need about shots tequila face,,LAS_VEGAS,4,neutral
25,siamlv,"Las Vegas, NV",202,171,"he don’t care sis, delete the message and go on witcho business",0,0,0,10568,0,0,0,0,1395,0,https://twitter.com/statuses/1190820461464059910,care delete message witcho business,,LAS_VEGAS,4,neutral
37,5footabstract,"Las Vegas, NV",580,356,LMFAO I haven’t been this stoned since high school https://t.co/aHKgd6Xbqj,0,0,5,41908,0,0,0,0,2520,0,https://twitter.com/statuses/1190820421098041344,lmfao haven be this stone since high school,,LAS_VEGAS,4,positive
43,ItsAllMeJeffyC,Miami Atlanta Cleveland,32,103,@itsjameskennedy Tweet more. Miss your humor.,0,0,0,2235,1,1,0,0,238,0,https://twitter.com/statuses/1190820406816456709,itsjameskennedy tweet more miss your humor,,LAS_VEGAS,4,positive
46,iamtanishia,Las Vegas,542,538,"I sang ""Because You Loved Me with myself. Because I can. On a Saturday night. Alone. 🤷🏽‍♀️ - Acoustic"" on #Smule:… https://t.co/4RayjBYiNL",0,0,15,7423,0,0,0,1,3864,0,https://twitter.com/statuses/1190820395319885824,sing because love with myself because saturday night alone acoustic smule,,LAS_VEGAS,4,positive
55,AlexCSinger16,"Las Vegas, NV",4353,2937,"Oregon has a chance to put this game away right here.

#GoDucks",0,0,108,82818,0,0,0,1,1449,0,https://twitter.com/statuses/1190820353045454849,oregon chance this game away right here goducks,,LAS_VEGAS,4,negative
59,AB8TN,Viva Las Vegas   ,749,889,@classiclasvegas Interesting,0,0,21,45727,1,1,0,0,3542,0,https://twitter.com/statuses/1190820345244049409,classiclasvegas interest,,LAS_VEGAS,4,neutral
61,Sumdood88,"Las Vegas, NV",953,499,@mysteryspiff Stop it.,0,1,10,31304,1,1,0,0,3016,0,https://twitter.com/statuses/1190820328370405376,mysteryspiff stop,,LAS_VEGAS,4,neutral
