,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,url,text,popularity,city,topics,sentiment
26,nikhilagarwal7,"Kanpur, India",758,202,"Distinguished alumni honoured for contribution to IIT- Kanpur, nation: IIT Kanpur @ 60. The alumni were felicitated… https://t.co/AxSdZ4YidE",1,1,15,660,0,0,0,0,3853,1,https://twitter.com/statuses/1190811038276390912,distinguish alumni honour contribution iit kanpur nation kanpur alumni be felicitate,,KANPUR,2,neutral
29,srivastava5077,kanpur,0,3,The bank is robbing. Government estableshments are on sale. The public is crying. Pradhan ji is travelling abroad.… https://t.co/mqgEi5wBF4,0,0,0,13,0,0,0,0,11,0,https://twitter.com/statuses/1190810153215381504,bank rob government estableshments sale public cry pradhan travel abroad,,KANPUR,2,neutral
41,dheerajfirst,"KANPUR, INDIA",313,304,@ppbajpai we people need for you... Is genetic disease per research per work ho raha hai.. Bas Government ke intere… https://t.co/P18bIHFcUa,0,0,0,233,1,0,0,0,2394,0,https://twitter.com/statuses/1190803997994536960,ppbajpai people need genetic disease research work raha hai government intere,,KANPUR,2,neutral
64,bharatpcnb,"Kanpur, Uttar Pradesh",47,390,"Happy chhath Puja ....
#bharatfilms #bharatfilms #chhath #chhathpooja #bharat",0,0,0,190,0,0,0,5,1738,0,https://twitter.com/statuses/1190788286241005568,happy chhath puja bharatfilms bharatfilms chhath chhathpooja bharat,,KANPUR,2,positive
66,pankajgco,Kanpur,51,42,"Comfortable misery is still misery - our happiness is determined not by our comfort level, but by our consciousness level. #Gita 🦚",0,0,0,21,0,0,0,1,3582,0,https://twitter.com/statuses/1190783111597969408,comfortable misery still misery happiness determine comfort level consciousness level gita,,KANPUR,2,positive
68,KunalUp18,"Kanpur, India",38,192,@Pooja_Aunty @Iam_selvi @sripriyaKovai @aquaneha2008 @KumarJi89578129 @Banupriya_1 @Top_actress @Hotty_actress… https://t.co/BQxU0Ea0DH,0,0,0,68,8,1,0,0,71,0,https://twitter.com/statuses/1190778567073812481,poojaaunty iamselvi sripriyakovai aquaneha2008 kumarji89578129 banupriya1 topactress hottyactress,,KANPUR,2,neutral
70,Arpitaito,"Kanpur, Uttar Pradesh, india",25,77,@madebygoogle will the astro photography mode of pixel 4 and 4xl come to pixel 2 and 2xl?,0,0,1,774,1,0,0,0,2583,0,https://twitter.com/statuses/1190774303270129664,madebygoogle will astro photography mode pixel come pixel,,KANPUR,2,neutral
4,HhhUtkarsh,"Kanpur, India",502,825,@CPGOAT @RHRGareth @aiwrestling Do you have a link or anything to watch that match?,0,0,8,15639,3,1,0,0,1269,0,https://twitter.com/statuses/1190819571034230784,cpgoat rhrgareth aiwrestling have link anything watch that match,,KANPUR,3,neutral
6,brokesilver,"Kanpur, India",311,216,@Faaltu_Gyaan Which one,0,0,49,66710,1,1,0,0,3804,0,https://twitter.com/statuses/1190819162572103682,faaltugyaan which,,KANPUR,3,neutral
9,7shrey5,"Kanpur, India",10,269,"@joybhattacharj George Thomson, Irene Curie?",0,0,0,18,1,1,0,0,1790,0,https://twitter.com/statuses/1190818212830560256,joybhattacharj george thomson irene curie,,KANPUR,3,neutral
10,shoes_ra,"Kanpur, India",236,676,"“It was only a sunny smile, and little it cost in the giving, but like morning light it scattered the night and mad… https://t.co/dRosQ3Y39H",0,0,0,3015,0,0,0,0,1321,0,https://twitter.com/statuses/1190818045595287553,only sunny smile little cost give like morning light scatter night mad,,KANPUR,3,negative
24,GhoshDevanshu,"Kanpur, India",5,58,@AasthaVarma Am i eligible for your mother? If you approve me then we discuss steps further.,0,0,0,43,1,1,0,0,1362,0,https://twitter.com/statuses/1190812682154323970,aasthavarma eligible your mother approve then discuss step further,,KANPUR,3,neutral
27,RahulCh26769865,"Kanpur, India",0,12,@akshaykumar Great sir,0,0,0,1,1,1,0,0,27,0,https://twitter.com/statuses/1190810909029081088,akshaykumar great,,KANPUR,3,positive
28,brokesilver,"Kanpur, India",311,216,So due to a need at a client i had to look up a Chinese company product for its design and immediately after few da… https://t.co/UgvubPpP7x,0,0,49,66710,0,0,0,0,3804,0,https://twitter.com/statuses/1190810706465247233,need client look chinese company product design immediately after,,KANPUR,3,neutral
30,STARSAGAR786,"उत्तर प्रदेश, भारत",31,209,@sana_100k Best king..,0,0,0,56,1,1,0,0,1352,0,https://twitter.com/statuses/1190809963863535616,sana100k best king,,KANPUR,3,positive
45,Harsh7tripathi,अपनों के दिल में😘😍,1807,92,@Kinjal_IND Happy birthday beta🍫🍫🍬,0,0,1,118649,1,1,0,0,810,0,https://twitter.com/statuses/1190801424952639488,kinjalind happy birthday beta,,KANPUR,3,positive
52,abhishek0557,"New Delhi, India",19,59,"@suhaildevexpress #suhaildevexpress  worst train, can I expect a cup of tea as its been two and half hour it's stop… https://t.co/dxaCWKV0I8",0,0,1,66,0,0,0,1,1246,0,https://twitter.com/statuses/1190799738469142528,suhaildevexpress suhaildevexpress worst train expect be half hour stop,,KANPUR,3,negative
17,NeerajV31709309,"Kanpur, India",18,104,@khushigadhv good morning,0,0,0,678,1,0,0,0,1007,0,https://twitter.com/statuses/1190815179639947264,khushigadhv good morning,,KANPUR,4,positive
21,Susheel36817032,"Kanpur, India",140,292,@thekiranbedi Good morning maim,0,0,0,2819,1,1,0,0,87,0,https://twitter.com/statuses/1190813435115687936,thekiranbedi good morning maim,,KANPUR,4,positive
32,shoes_ra,"Kanpur, India",236,676,""" I'm a silent soul:
Where no one hears my voice between respect and freedom ""

❣️In Love With Soul ❣️ https://t.co/V4gdkRF6Az",0,0,0,3015,0,0,0,0,1321,0,https://twitter.com/statuses/1190809253713305600,silent soul where hear voice between respect freedom in love with soul,,KANPUR,4,positive
33,shoes_ra,"Kanpur, India",236,676,"Writing is the only way I can touch you from afar,
For you to get the breeze of my caress.

❣️In Love With Soul❣️ https://t.co/WDh08W76R7",0,0,0,3015,0,0,0,0,1321,0,https://twitter.com/statuses/1190807644665024512,write only touch from afar breeze caress in love with soul,,KANPUR,4,positive
34,Mahendr09330835,"Kanpur, India",6,101,@APARNA67102203 @MeriRadhe @Mousmi9 @myogiadityanath Have a wonderful day dear,0,0,0,49,4,1,0,0,868,0,https://twitter.com/statuses/1190807284139606016,aparna67102203 meriradhe mousmi9 myogiadityanath have wonderful dear,,KANPUR,4,positive
38,Shubham69838060,कानपुर,27,290,Good morning,0,0,0,27,0,0,0,0,2,0,https://twitter.com/statuses/1190805265626451969,good morning,,KANPUR,4,positive
39,Susheel36817032,"Kanpur, India",140,292,@PatekerFan Good morning sir,0,0,0,2819,1,1,0,0,87,0,https://twitter.com/statuses/1190805058079707137,patekerfan good morning,,KANPUR,4,positive
40,Susheel36817032,"Kanpur, India",140,292,@yamla_pagla_Bob Good morning sir,0,0,0,2819,1,1,0,0,87,0,https://twitter.com/statuses/1190805056020303872,yamlapaglabob good morning,,KANPUR,4,positive
47,Harsh7tripathi,अपनों के दिल में😘😍,1807,92,@sadhvi006 Good morning,2,0,1,118649,1,1,0,0,810,1,https://twitter.com/statuses/1190800733316108288,sadhvi006 good morning,,KANPUR,4,positive
48,rac_knp,"कानपुर, भारत",215,231,@_Rakhshanda_ Good morning ji 🙏🌹,0,1,0,10362,1,1,0,0,3364,0,https://twitter.com/statuses/1190800310580568065,rakhshanda good morning,,KANPUR,4,positive
